Job Title,Company,Location,Salary,Description,URL
Engineer - Network,Netspace Infosolutions Pvt Ltd,"Pune, Maharashtra","₹10,000 - ₹20,000 a month"," Configure and install various network devices and services (e.g., routers, switches, firewalls, load balancers, VPN, QoS)` Perform network maintenance and system upgrades including service packs, patches, hot fixes and security configurations` Implementation of new devices at client site like L3, L2 network, security devices along with CCTV surveillance projects` Monitor performance and ensure system availability and reliability` Monitor system resource utilization, trending, and capacity planning` Provide Level-2/3 support and troubleshooting to resolve issues` Work within established configuration and change management policies to ensure awareness, approval and success of changes made to the network infrastructure` Select and implement security tools, policies, and procedures in conjunction with the company’s security team` Liaise with Customers and other IT personnel for problem resolution`Job Type: Full-time`Salary: ₹10,000.00 - ₹20,000.00 per month`Benefits:`Cell phone reimbursement`Internet reimbursement`Provident Fund`Schedule:`Morning shift`Supplemental pay types:`Performance bonus`Ability to commute/relocate:`Kothrud, Pune - 411038, Maharashtra: Reliably commute or planning to relocate before starting work (Required)`Education:`Bachelor's (Preferred)`Experience:`IT support: 1 year (Preferred)`Speak with the employer`+91 9075025272",https://in.indeed.com/company/NetSpace-InfoSolutions-Pvt-Ltd/jobs/Network-Engineer-97b86d9e8b32b2f3?fccid=62378d1f1a743b41&vjs=3
Engineer - Network Operations & Support (Unified Collaboration Network Operations & Support),Tata Communications,"Pune, Maharashtra",,Job Family Descriptor Monitor large computer networks and servers for problems from a central location They analyze problems perform troubleshooting and incident response on the system communicate with site technicians and track problems through to resolution`Create and maintain infrastructure necessary for the growth and upkeep of field and network operations to drive network efficiency and availability`Ensure necessary coordination on certification field level testing Coordinate with the technical teams for new enhancementsissue resolution`Set up configurations number of fibre pairs in the cable capacity landing stations Manage the complete capacity distribution and traffic activation on the cable system`Track and monitor the environment performance to ensure minimal interruption to network transmission andor network switches`Lead drive and monitor all maintenance and cost savings activities related to facilities including facility maintenance and thereby ensuring sufficient focus on optimizing cost of facility infrastructure while maintaining reliability both in terms of operations and capital investments`Manage marine cables network equipment maintenance international real estate management security operations for all sites and network ensuring adequate support for maintenance of international facilities and network at optimal costs ensuring sufficient focus on optimizing cost of facility infrastructure while maintaining reliability both in terms of operations and capital investments Broad outline of the Role Has enough knowledge within Network Operations Support to allow them to apply their knowledge efficiently and work productively with broad instruction Regularly participates in important projects or activities as a full contributing team member is able to proactively identify important issues or risks seeks the appropriate level of guidance and advice to ensure delivery of quality outcomes Operational role which is responsible for delivering results that have direct impact on the achievement of results within Telecom Network Operations and Maintenance Works under direct supervision Able to identify problems and provide inputs to improve change or adapt existing methods and techniques drawing from personal experiences and feedback Actively acquires more complex skills techniques operating practices knowledge of abstract concepts in order to progress toward full proficiency in the field of specialisation Has skills and knowledge that will allow them to adapt to effectively deal with unfamiliar issues challenges problems within their field of specialisation Education Graduate in any discipline Experience 4 8 years Purpose - Broad objective of the role Operating Network - Key External Operating Network - Key Internal Size and Scope of Role - Financial Size and Scope of Role - No. of direct reports Size and Scope of Role - Total team size Size and Scope of Role - Other size parameters Minimum qualification & experience Other knowledge/skills Key Responsibilities Technical Competencies Knowledge / Skills,https://in.indeed.com/rc/clk?jk=2131866d3ab148e4&fccid=e53a1e83cfcd06ef&vjs=3
Software Engineer,Siemens,"Pune, Maharashtra",,"Job Description: Software Engineer``Together we make the difference`Siemens Mobility is an independent managed company of Siemens AG. Its core business includes rail vehicles, rail automation and electrification solutions, turnkey systems, intelligent road traffic technology and related services.`The Information Technology (IT) department has the global responsibility for the internal IT of Siemens Mobility. Its goal is to provide a robust and efficient IT landscape derived from business and market demands.`Your personality and individuality make the difference. In our team, we increase business performance and point the way into the digital age.`Is that exactly your thing? Then live your passion in a cross-location team in which you can actively shape the future of our company. You open up new possibilities for our customers with your competence. Connected with this is an exciting career path that leads you to ever new projects and solutions in the field of IT for Siemens Mobility.`Here's where you make the difference`As part of our Development Team, you have the technical responsibility for design, development and optimization of software core components for a web-based project management solution in the business area of Siemens Mobility.`In your new role, you will design, develop and optimize core components of project management solution at Siemens Mobility.`Develops software components by studying information needs; conferring with Solution Architects; studying systems flow, data usage, and work processes; investigating problem areas; following the software development lifecycle.`Documents and demonstrates progress by developing documentation, flowcharts, layouts, diagrams, charts, code comments and clear code.`Determines operational feasibility by evaluating analysis, problem definition, requirements, solution development.`Prepares and installs solutions by determining system specifications, standards, and programming.`Improves operations by conducting systems analysis, advising changes in policies and procedures.`Updates job knowledge by studying state-of-the-art development tools, programming techniques, and computing equipment; participating in educational opportunities; reading professional publications; maintaining personal networks; participating in professional organizations.`Provides information by collecting, analyzing, and summarizing development and software issues.`Accomplishes engineering and organization mission by completing related results as needed.`Supports and develops the teamwork spirit by providing advices, coaching and educational opportunities.`What do I bring with me?`Bachelor’s degree or equivalent in Electrical/Electronic/Computer Science or related discipline`Experience : 2 to 4 yrs`Several years of experience in Cloud Technologies. AWS, Microsoft Azure, Google cloud.`Languages - At least one out of Java or Python.`Experience on container orchestration by managed Kubernetes`Experience on relational database SQL`Exhibiting excellent communication and analytical skills`We’ve got quite a lot to offer. How about you?`Competitive compensation`An opportunity to craft the future of autonomous systems`Extraordinary researchers and engineers as team members`We are an equal opportunity employer and embrace diversity`This role is based in Pune. You’ll also get to visit other locations in India and beyond, so you’ll need to go where this journey takes you. In return, you’ll get the chance to work with teams impacting entire cities, countries – and the shape of things to come.`Make your mark in our exciting world at Siemens.`We’re Siemens. A collection of over 379,000 minds building the future, one day at a time in over 200 countries. We're dedicated to equality, and we welcome applications that reflect the diversity of the communities we work in. All employment decisions at Siemens are based on qualifications, merit, and business need. Bring your curiosity and imagination and help us shape tomorrow.`Find out more about mobility at: https://new.siemens.com/global/en/products/mobility.html and about Siemens careers at: www.siemens.com/careers`At Siemens, we are always challenging ourselves to build a better future. We need the most innovative and diverse Digital Minds to develop tomorrow ‘s reality. Find out more about the Digital world of Siemens here: www.siemens.com/careers/digitalminds",https://in.indeed.com/rc/clk?jk=ba207a1bb3a408c6&fccid=ea6bb53f0b18b8f2&vjs=3
Network Engineer,VJ NETWORK PRIVATE LIMITED,"Pune, Maharashtra","₹15,000 - ₹25,000 a month","Will Be Stationed At Customer Location. Handle Real-Time Technical Queries. Provide Support And Identify All Issues And Prepare Appropriate Documentation All Issues And Solutions. Perform Implementation Of New Components In Customer Environment. Multitasks And Works Well In A Fast-Paced Environment`Job Type: Full-time`Salary: ₹15,000.00 - ₹25,000.00 per month`Schedule:`Day shift`Ability to commute/relocate:`Pune, Maharashtra: Reliably commute or planning to relocate before starting work (Required)`Education:`Diploma (Preferred)`Experience:`total work: 1 year (Preferred)`Speak with the employer`+91 9677170383",https://in.indeed.com/company/VJ-Network-Private-Limited/jobs/Network-Engineer-3183c88faca0a7b7?fccid=53330caff416f4e5&vjs=3
Network Administrator (IBM Cloud),Sky Systems Inc,"Pune, Maharashtra",,"Network Administrator`Pune (India) - On-Site`Long Term Roles`IBM Cloud is preferred but will accept other related cloud technologies experience`Experience with Cloud Payment Digital Solution preferred or related experience.`Experienced in configuration and setup of datacentre machines through established networking protocols; establish/configure/install firewalls and software on the cloud. Hands-on experience on IBM Cloud would be an added advantage.`Required skills: IBM Cloud VPC network, subnets, sec groups, ACLs, routing, direct link, transit gateways, VPN, knowledge of IBM Cloud IAM, access groups, service IDs`Terraform, IBM Cloud VPC VSIs, VSI images, RHEL and windows administration (OS Admin), Openshift`The role would need you to be able to do/supervise the following on IBM Cloud:`Configure IAM policies and access groups`Configure service IDs and users`Configure MFA`Deploy secure landing zone templateConfigure Subnets/ACL/SG`Configure transit gateways`Configure edge VPC`Deploy Bastion / Priviledged access gateway`Configure client-to-site VPN`Configure blank workload VSIs (SAG/SAA/AWP)`Configure direct link to coloConfigure DL termination to Transit Gateway`Configure site-to-site VPN`Connectivity test between FS Cloud and Colo`FS team to grant access to network and Swift teams`Job Type: Contractual / Temporary`Application Question(s):`This is an on-site position in Pune. Will you be able to work on-site? (Yes/No)`Experience:`Network administration: 5 years (Preferred)`IBM Cloud: 2 years (Preferred)`IAM: 4 years (Preferred)`Work Location: In person",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bb14AWJKlW1v57KjlSVHxXX3dnQvJtzBErd2CROt6H_tj3-7OIg-IfXQOONyn9wu0bGNxL8XmcJkYvPXe0OTq5yakCGw7MingQulO3PxFLPQ5nkcMiVol8XtliB6y26K5AMJ_sXDfXzA21r8NAA8C7K2tyaAYR8EDgogta1t-1SrxZnpPS3W8C-x3IXocxqyAFnxwiKJPZ-6kA-eRMChkcCBRYmv1pBDaAxrn0mPp1TEdzNv-kYp1MADqGQJ_10hMDXH2R7uwxwWJ3k9mHmQ3Z0qsCZIXM2slJSyoeM6zaNXVRJTBQvcbhWx4taJQybf_46NkSMUf5pJuCXypU6BbVarJqC2cGMiTEV8Bf1ZoLMqxjvt9dIR1aDxRE0PRqixzND3HxifikjvG_L7ojfS3XtHFv0FUXTg6nTNq0pYRfzAMwDdya4H37SxnPaSK4sx1tl8BFQZGI-K5TsuCQ1HNVfSeJ4t3So1J906ibpAN0wsAFCEMARjWSQuS9AdqUMrBDE6xlaYSeu3OzC3i55v6E2D2ClZHIiK6CgQ2CvmjVbg==&xkcb=SoDs-_M3QXXUVBwFkB0FbzkdCdPP&p=14&fvj=1&vjs=3
RADAR System Engineer,Aptiv plc,"Bengaluru, Karnataka",,"Radar Systems Engineer`Help shape the future of mobility.`Imagine a world with zero vehicle accidents, zero vehicle emissions, and wireless vehicle connectivity all around us. Every day, we move closer to making that world a reality. Aptiv’s passionate team of engineers and developers creates advanced safety systems, high-performance electrification solutions and data connectivity solutions so that automakers can bring advanced capabilities to more people around the globe. This is how we enable sustainable mobility and help to prevent accidents caused by human error.`Want to join us?`Your Role`As a Radar Systems Engineer on our team, you’ll be responsible for Radar Core Systems Development and Analyzing the field Data for Advanced Safety Products. In your daily job you will:`Own Radar Processing algorithm development for ADAS products;`Be responsible for Systems Requirement creation and Algorithms Development (Matlab) using SDLC Model per ASPICE;`Collaborate with cross functional teams for day-to-day activities;`Have the chance to demonstrate your debugging skills and issue resolution with ownership;`Your Background`Key ingredients for succeeding in this role are your:`Master’s degree in computer science, electronics, automatics or related;`Experience with Radar Signal processing Algorithms development;`Working knowledge of Radar Systems development tools;`Experience in Radar testing;`Knowledge of Automotive Product Development Process (ASpice);`Hands on experience with waveform generator, Radar Target Simulator and Frequency Analyzer;`Courage to pursue new ideas with the aim of achieving both your professional aspirations and Aptiv's mission is inspiring`Why join us?`You can grow at Aptiv. Whether you are working towards a promotion, stepping into leadership, considering a lateral career move, or simply expanding your network – you can do it here. Aptiv provides an inclusive work environment where all individuals can grow and develop, regardless of gender, ethnicity or beliefs.`You can have an impact . Safety is a core Aptiv value; we want a safer world for us and our children, one with: Zero fatalities, Zero injuries, Zero accidents.`You have support . Our team is our most valuable asset. We ensure you have the resources and support you need to take care of your family and your physical and mental health with a competitive health insurance package.`Your Benefits at Aptiv:`Hybrid and flexible working hours;`Higher Education Opportunities (UDACITY, UDEMY, COURSERA are available for your continuous growth and development);`Life and accident insurance;`Sodexo cards for food and beverages`Well Being Program that includes regular workshops and networking events;`EAP Employee Assistance;`Access to fitness clubs (T&C apply);`Creche facility for working parents;`Apply today, and together let’s change tomorrow!`#INDIN`Privacy Notice - Active Candidates: https://www.aptiv.com/privacy-notice-active-candidates`Aptiv is an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, gender identity, sexual orientation, disability status, protected veteran status or any other characteristic protected by law.",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A-lp1FEfIYC2hcfMXK3DEZt_iEPNIUnK1r6pdr8kOWOQLL9mctG0FqYwYoZuDIMwM9z6mktWRBrXWaQ1xdc5QRoGmAKlV5FuKvmSYXOL9-Rfzh2JbjHzA2t9YeA_ZyZXMzRUDiKPcGDE0g8drzre-eFBPoDoY2Bz-tnjZuALlOsrvLMjv2-0KePjdyeEzmi4RYOj66rDxSjVr6aB9t90aiU5nihohsi2qpUC8RtUP5EWGs2uQFsWU8GwKr8P6SchksHnF_xKTVoS8wK3gpbjtHSiPMAmKxlRQj3hpsQOtLizsSapTTQiF9uKTixQ0ckU_r1nzXLN3lw-U8mcpT-01_g88GFizx04WO7ezTP-_3AfWcAjOV8HzF9QlOHVgiTo4VNHYx3CPr9cIGaAFkggoLPnFtrZMY20eQiXW-4mPltZ09r2glDBpXgz9ukC6B_QAsnIUOg6XNCdDpysxkp-CQZmU1viX6_--DvJHq8omq-OB2wGJKk_R2GSQ39XAjtFrZaVAIPVY-UCk5GlFMAohUJeEdqm9cpigRT4eQ0Y8ARfZVGs73YH7HlL1bM9XfAQTg4n-mjjx7LRlB4IghnJ43df5YWwQNJyGBiEPGGrpU5UyHLQLtICXS7oWmKY8_A-43JEKK7gL2ueNjq0ndGM4aYIbhk4GQe5NUNGFGQX-n6hL4Vw3UezwC2jLgRvSNgm8xJ3MLTl6HaodkjIgTy0iF8P6cpZ0fxTLPUeMWnnzRgg==&xkcb=SoAz-_M3QXXpUXwFhh0LbzkdCdPP&p=0&fvj=0&vjs=3
IoT Software Architect,Aptiv plc,"Bengaluru, Karnataka",,"IoT Software Architect - Embedded`Help shape the future of mobility.`Imagine a world with zero vehicle accidents, zero vehicle emissions, and wireless vehicle connectivity all around us. Every day, we move closer to making that world a reality. Aptiv’s passionate team of engineers and developers creates advanced safety systems, high-performance electrification solutions and data connectivity solutions so that automakers can bring advanced capabilities to more people around the globe. This is how we enable sustainable mobility and help to prevent accidents caused by human error.`Want to join us?`Your Role`As an IOT Software Architect - Embedded on our team, you’ll work with software that rewrites the rules of what’s possible in the pursuit of making transportation safer, greener and more connected. In your daily job you will:`Decompose Product System SW requirements and architecture into modular and reusable components`Define SW component architecture, use cases, implementation choices, test cases, and integration with SDV`Collaborate with management and cross-functional teams to innovate and overcome technical obstacles`Act as technical mentor for OTA, IoT, SW update, and connected services, while conforming to ASPICE and agile methodologies`Your Background`Key ingredients for succeeding in this role are your:`ME/M.Tech graduate with 8+ years of experience, ready to disrupt the industry`Go-getter with excellent communication skills and a strong sense of ownership and trust`Future-oriented, curious, analytic, and systemic thinking style`Collaborative, autonomous, and values equality in their sense of self`Proficient in IoT, OTA SW Update, Embedded Software Architecture, C/C++, UML, service-oriented communication architecture, wireless communication protocols and security, and development tools such as Polarion, Enterprise Architect, JIRA, and Confluence. Fluent in English.`Bonus points if you have experience in any of the following areas:`Experienced in vehicle cybersecurity and edge-to-cloud data/compute`Proficient in Autosar (Adaptive, Classic) and Diagnostic UDS and Service Oriented Diagnostic`Skilled in embedded microprocessors and microcontrollers (ARM Cortex A/R/M)`Familiar with Vector toolchains, WindRiver VxWorks and Helix, and containers (Docker) and orchestration (Kubernetes) technologies`Why join us?`You can grow at Aptiv. Whether you are working towards a promotion, stepping into leadership, considering a lateral career move, or simply expanding your network – you can do it here. Aptiv provides an inclusive work environment where all individuals can grow and develop, regardless of gender, ethnicity or beliefs.`You can have an impact. Safety is a core Aptiv value; we want a safer world for us and our children, one with: Zero fatalities, Zero injuries, Zero accidents.`You have support. Our team is our most valuable asset. We ensure you have the resources and support you need to take care of your family and your physical and mental health with a competitive health insurance package.`Your Benefits at Aptiv:`Hybrid and flexible working hours;`Higher Education Opportunities (UDACITY, UDEMY, COURSERA are available for your continuous growth and development);`Life and accident insurance;`Sodexo cards for food and beverages`Well Being Program that includes regular workshops and networking events;`EAP Employee Assistance;`Access to fitness clubs (T&C apply);`Creche facility for working parents;`Apply today, and together let’s change tomorrow!`#INDIN`Privacy Notice - Active Candidates: https://www.aptiv.com/privacy-notice-active-candidates`Aptiv is an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, gender identity, sexual orientation, disability status, protected veteran status or any other characteristic protected by law.",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A-lp1FEfIYC2hcfMXK3DEZt_iEPNIUnK1r6pdr8kOWOQLL9mctG0FqYwYoZuDIMwOwluVAgMHNqZtMGjsFVPaLNwIYvOSQlRaCDT_Bj9CFOgFMTGFTIR6JlaVCNjdPusKIGgbNGz3s9jzno25G2EtJudkio1C3cwMyCxw7VU7bNYcJ9m7ZoBXAQcZGjRZSD1Q8FfeB2HWaIvSzZdy9wnk5bMYLfkM8RmtSKmo0QTiOZhaAnzTCto19cpLo-7WwFUayvOua68wg_34oltOiMd-TZY-5LwiiEp0TWxfk_VbR9dmKDuYkep3IcLSRDyojAQmQLGM9NqLDIjOIYSZO_S0j6FIIDqbhHFoAfc0KP9k5TmSjPG0r8soHXsrfISCG-pRPV43jTxhzrPParG_srUiDZTjDX6ik_91GwESHyT1d8x5eNRlGI6dbmvklSSAHutAxMzOBjf4ZxjnT3CUGIyxl5905r-zVQUvhlzueR1R7zOk-34cBpPmMddxoApr7hhahmL3ErP9e8_QUcAAreAubLFHv5aRqsfhXRiZX-y884LrMOuR0V-xAZUcQPDj5dl9ZeP7bBipaa7nJnXnOnSC5jfuHdDAldr9xX_Z7hK9_II16545eFplUjBlUcVpGeLtPEONqnTSratMfD0A9aWyt8e9O37_j5LJHZjKdaJgwoRyVUo6_lLDT7rcgGvzP21Y8o6SMNIjR1ywbzehO54ZWBggde2CM_5osWeUvXB9uWg==&xkcb=SoCH-_M3QXXpUXwFhh0KbzkdCdPP&p=1&fvj=0&vjs=3
Sr. DevOps Engineer,Picarro,"Bengaluru, Karnataka",,"DevOps Engineer`Location: Bengaluru, India`Job Term: Full-Time``The Opportunity:`Picarro is looking for an experienced DevOps Software Engineer to support technical operations for our recently introduced flagship suite of products – Picarro Surveyor™. Surveyor is a transformational platform that allows the customer to conduct natural gas pipeline leak and upstream emission surveys spanning the entire natural gas industry supply chain, from the wellhead to the consumer. You will be responsible to assist in developing our cloud strategy, cloud infrastructure and automation frameworks for deploying, managing, and monitoring multi-tenant SaaS applications running on AWS. The applications will capture atmospheric data, analyze it using complex mathematical scientific algorithms, and integrate survey measurements with enterprise-class geographical information systems. The survey information will be utilized by customers for further investigations. The position requires a mature and dynamic professional that can work alongside Engineering to ensure Enterprise class operation.``Responsibilities:`Develop and maintain Continuous Integration/Delivery processes, tools and execution - including test frameworks, code quality analysis, static code analysis, etc.`Develop and manage build versioning and code releases`Manage and support applications and services, ensuring KPI metrics are being met`Conduct DevOps tool research, evaluation, proof of concept, installation, configuration and training`Troubleshoot and root cause internal and production issues in a timely manner`Perform complex technical work to accomplish tasks and projects within a defined time frame`Qualifications:`B.S. Computer Science or equivalent; M.S. preferred`7+ years professional work experience in DevOps & Software Development related roles`Architectural experience in a cloud server environment, such as AWS and GCP or Azure`Demonstrated ability with scripting languages such as Bash, Python, Powershell, PHP or Perl`Experience with CI/CD tools such as TeamCity, Jenkins or Bamboo`Experience in an Agile development environment`Linux server administration experience`Experience with commercial or open source monitoring and systems management tools such as Nagios, Logstash, Splunk, Cacti, New Relic, etc.`Excellent communication, presentation and collaborative problem-solving skills`Relational database experience is a plus`Knowledge of security concepts around firewall, intrusion detection/prevention, and network security is a plus``About Picarro:`Picarro is pioneering a unique confluence of hardware, software and cloud-based computing unlike anything being done today. By manufacturing the precision instruments at the core of this technology as well as developing the algorithms that enable cogent information to be derived from the data, we are transforming how world-class scientific, industrial and regulatory compliance measurements are made, and more importantly, who makes them.`Infrared optical spectroscopy is a proven technology for delivering precise, real-time measurement of the constituents in a gas stream with high sensitivity and selectivity. Recent developments in laser technology allow for a very significant increase in the number of species that can be measured simultaneously, leading to an unprecedented increase in the amount of information that can be collected and to corresponding challenges in extracting information from the results.`All qualified applicants will receive consideration for employment without regard to race, sex, color, religion, national origin, protected veteran status, gender identity, social orientation, nor on the basis of disability.`Posted positions are not open to third party recruiters/agencies and unsolicited resume submissions will be considered free referrals.`If you are an individual with a disability and require a reasonable accommodation to complete any part of the application process or are limited in the ability or unable to access or use this online application process and need an alternative method for applying, you may contact Picarro, Inc. at disabilityassistance@picarro.com for assistance.",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bi_L-TVeE1Ugo8LUULWXSeEcDURezjg2h50t1QuagkwRHMyl-XcFTDihxNYq6nIFWHK63mjFlgycmO2Rdm3J4cvSFuMMDNRBt_CCsG6PS91SxQ-M3qBqEB1BjGpKvZsE4_BE8HDjbFdX5k4A6uNu21zer19PvgAhYVT6b1ftp7vnmz3xQmm5dXstt8tvr4IETIlYbJGM0xie5bsUKwa3eDo-VTGOAuwEJfmNNuErSQXa8crgfEmSIwVji87m4JgjQzV8BrurP9uwEiHp4fdORcm0xAYR7wISUIBeWBWTtECtQKbqz5VlnYWZMJXHoT9gkQL53kWw6MXVUhv9Cz7_b_9vdy9f8gjCx6jxuZVEannLpyS5-RgWaYZZhOz04oTQiELiLg-Jxxy6En4fgyQyPsc-dV6RyghrqCJpAHNtJpKvV8IXjnijBhBEPJd75Sqptyw840B1DfqzRLuTeDICLeHxqsTxPGbpavAEodHgkQBOxjPupTEZDNA89kUmCuLhzGdITpNZAJMGhP3F7n_uln8PSXwVDtUgi_bpyOiaQcnXp_z2wPnddw4IZ9v3K5KZVN_1Z-ETvxucqwxb2PIJs_jyw4XN2RX8MpduCeB3n04ZslbJX2Kkx4fgG458gxO-8hcas6LGzHpQ==&xkcb=SoAa-_M3QXXpUXwFhh0JbzkdCdPP&p=2&fvj=0&vjs=3
Hardware & Networking Engineer,Errorkart (OnlinetekSupportITsolution PVT LTD),"Bengaluru, Karnataka","₹20,000 - ₹27,112 a month","A Network Engineer is a professional responsible for setting up and maintaining networks within an organization or between organizations. They offer support to users, staff members, clients, or suppliers. As such, they need to have strong troubleshooting skills and be able to work with others to resolve issues.`Configure and install various network devices and services (e.g., routers, switches, firewalls, load balancers, VPN, QoS)`Perform network maintenance and system upgrades including service packs, patches, hot fixes and security configurations`Monitor performance and ensure system availability and reliability`Monitor system resource utilization, trending, and capacity planning`Provide Level-2/3 support and troubleshooting to resolve issues`Work within established configuration and change management policies to ensure awareness, approval and success of changes made to the network infrastructure`Select and implement security tools, policies, and procedures in conjunction with the company’s security team`Liaise with vendors and other IT personnel for problem resolution`Immediately joiners required with minimum 1 year of experience.`Job Types: Full-time, Regular / Permanent`Salary: ₹20,000.00 - ₹27,112.15 per month`Benefits:`Health insurance`Paid sick time`Paid time off`Provident Fund`Schedule:`Day shift`Morning shift`Supplemental pay types:`Performance bonus`Quarterly bonus`Yearly bonus`Ability to commute/relocate:`Bengaluru - 560038, Karnataka: Reliably commute or planning to relocate before starting work (Required)`Education:`Diploma (Preferred)`Experience:`total work: 1 year (Preferred)`Speak with the employer`+91 6360108986``Health insurance",https://in.indeed.com/company/Errorkart-(OnlinetekSupportITsolution-PVT-LTD)/jobs/Hardware-Engineer-88b7fea6fd07df96?fccid=57d2f6ef886d0efa&vjs=3
Network Engineer,News Technology Services,"Bengaluru, Karnataka",,"Job Description:`Implement new solutions and improve stability and resiliency of the network.`Monitor performance and troubleshoot and fix network problems by scheduling desired solutions.`Use multiple tools used by organisations to improve the efficiency and performance of the network.`Study the current bandwidth utilization and suggest required solutions for site performance.`Upgrade network equipment by refreshing the devices or by performing software upgrades.`Configure routers and switches,firewalls,Load Balancers and Meraki devices.`Participate in technical discussions and workout for new solutions along with team members.`Engage in troubleshooting calls and support other technical teams and users to resolve the issue.`Take part in projects along with engineering and assist in supporting and providing implementation plans.`As day-to-day operations required to work on incidents and changes.`Speak to customers via phone or email to work towards fixing network issues`Job Category:`Technology Group",https://in.indeed.com/rc/clk?jk=e8a1ca2e102420f8&fccid=ce539689f60a1d1d&vjs=3
Network Engineer,Nanoprecises,"Bengaluru, Karnataka","₹3,00,000 - ₹5,00,000 a year","Qualification, Experience & Skill Sets:`Diploma/BE(CS,EC,TC,IS)Fresher. Good communication skills in Hindi and English`· Should have Knowledge in Routing and Switching.`· Good Troubleshooting skills in Routers, Switches and Access Point.`· Basic knowledge in IoT hardware systems. Travel to customer site for networking work`Accountabilities/ Responsibilities:`Establishes and maintains network performance.`Builds net configurations and connections.`Troubleshoots network problems.`Responsible for the operations, configuration, installation, maintenance, and upgrade of the local area network (LAN)`Responsible for maintaining Network Devices.`Responsible for maintaining Network Inventory.`Troubleshoot Product, Codes and Configuration issues.`Document all communication with customers in the CRM`Establishes networking environment by designing system configuration and directing system installation.`Defines, documents, and enforces system standards.`Maximizes performance by troubleshooting network problems and outages and scheduling upgrades.`Configures router.`Updates data servers and network equipment.`Collaborates with network architects on network optimization.`Secures network system by establishing and enforcing policies and defining and monitoring access.`Updates job knowledge by participating in educational opportunities, reading professional publications, and participating in professional organizations.`Accomplishes information systems and organization mission by completing related results as needed.`Job Type: Full-time`Salary: ₹300,000.00 - ₹500,000.00 per year`Schedule:`Day shift`Ability to commute/relocate:`Bangalore, Karnataka: Reliably commute or planning to relocate before starting work (Required)`Education:`Bachelor's (Preferred)`Experience:`Network engineering (Preferred)`Language:`Hindi (Preferred)`Willingness to travel:`25% (Preferred)`Speak with the employer`+91 8431354338",https://in.indeed.com/company/Nanoprecises/jobs/Network-Engineer-d4cdc377dfe31d90?fccid=3cf4a324ac033bab&vjs=3
Network Engineer,Techkshetra Info Solutions,"Bengaluru, Karnataka","₹25,000 - ₹30,000 a month","Repair, install, and configure IT equipment including user desktops, laptops, printers and network equipment etc.`Assembling and disassembling of IT components`Perform software upgrades to desktops, laptops, tablets, and servers.`Provide technical support on operational or maintenance aspects of system equipment.`Diagnose mechanical, hardware, software and systems failures using established procedures.`Troubleshoot and resolve advanced desktop, server, network and active directory related issues.`Perform virus detection and removal.`Implement disaster recovery solutions.`Setup and support video and audio-conferencing hardware.`Diagnose and resolve problems across Windows, Mac, iOS, and Android platforms, as well as their software, hardware, and service product lines.`Ensure proper documentation and use of the ticketing system.`Assume complete ownership of customer issues until resolved.`Keep peers and managers informed of significant problems and unexpected delays.`Prepare reports for analysis of product failure trends and service ability issues.`Protect organization's value by keeping information confidential.`Skills and Qualifications:`Degree in Computer Science or a related field or technical training.`1+ years of experience in technical support (equivalent combination of education and experience will be considered)`Experience with network system installation, configuration, and troubleshooting.`Experience working for a Managed Service Provider and meeting SLA requirements preferred.`Exceptional customer service skills.`Ability to communicate effectively with a wide variety of people in a professional Manner.`Ability to multitask and complete assignments in a timely manner with accuracy and minimal supervision.`Must be flexible on work location/schedule and maintain reliable transportation.`Job Type: Full-time`Salary: ₹25,000.00 - ₹30,000.00 per month`Schedule:`Morning shift`Ability to commute/relocate:`Banasankari 3rd Stage, Bengaluru - 560085, Karnataka: Reliably commute or planning to relocate before starting work (Required)`Education:`Bachelor's (Preferred)`Experience:`total work: 1 year (Preferred)`Speak with the employer`+91 7892329249",https://in.indeed.com/company/Techsketra-Info-Solutions-Pvt-Ltd/jobs/Network-Engineer-048183ba93364939?fccid=a3cb7bbe5f69f6da&vjs=3
